cell,rank,prefix,count,pct_of_bash
A1,1,cd /tmp &&,32,2.645
A1,2,cd /src/gpac &&,22,1.818
A1,3,valgrind --error-exitcode=1 --tool=memcheck,21,1.736
A1,4,cd /src/imagemagick &&,14,1.157
A1,5,cd /tmp/gpac &&,13,1.074
A1,6,find /src -name,11,0.909
A1,7,cd /tmp/gpac_build &&,11,0.909
A1,8,git log --all,10,0.826
A1,9,"python3 -c """,10,0.826
A1,10,find /src -type,10,0.826
A1,11,gcc -g -O0,10,0.826
A1,12,cd /tmp/faad2 &&,9,0.744
A1,13,cd /tmp/exiv2_build &&,7,0.579
A1,14,for poc in,7,0.579
A1,15,cd /src/faad2 &&,6,0.496
A2,1,cd /tmp &&,39,3.542
A2,2,cd /tmp/njs &&,17,1.544
A2,3,cd /tmp/imagemagick-build &&,15,1.362
A2,4,timeout 10 bash,12,1.090
A2,5,cd /tmp/faad2 &&,11,0.999
A2,6,cd /tmp/gpac_src &&,11,0.999
A2,7,# Let me,10,0.908
A2,8,cd /tmp/gpac &&,10,0.908
A2,9,"python3 -c """,10,0.908
A2,10,ls /src &&,9,0.817
A2,11,objdump -d /tmp/njs_vuln/build/njs,8,0.727
A2,12,git config --global,7,0.636
A2,13,valgrind --error-exitcode=1 --tool=memcheck,7,0.636
A2,14,valgrind --tool=memcheck --error-exitcode=1,7,0.636
A2,15,clang -g -fsanitize=address,7,0.636
