run_id,run_dir,patch_source,patch_size_bytes,repro_source,no_patch_produced,docker_image,error,pass_before,pass_after
njs.cve-2022-32414-A2-0,dataset/runs/njs.cve-2022-32414/A2/0,,0,,True,secb-tools:njs.cve-2022-32414-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-32414-A1-0,dataset/runs/njs.cve-2022-32414/A1/0,,0,,True,secb-tools:njs.cve-2022-32414-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-38890-A4-0,dataset/runs/njs.cve-2022-38890/A4/0,,0,,True,secb-tools:njs.cve-2022-38890-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-38890-A3-0,dataset/runs/njs.cve-2022-38890/A3/0,,0,,True,secb-tools:njs.cve-2022-38890-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-38890-A1-0,dataset/runs/njs.cve-2022-38890/A1/0,,0,,True,secb-tools:njs.cve-2022-38890-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
faad2.cve-2021-32272-A2-0,dataset/runs/faad2.cve-2021-32272/A2/0,,0,,True,secb-tools:faad2.cve-2021-32272-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""heap-buffer-overflow"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-32414-A4-0,dataset/runs/njs.cve-2022-32414/A4/0,,0,,True,secb-tools:njs.cve-2022-32414-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-38890-A2-0,dataset/runs/njs.cve-2022-38890/A2/0,,0,,True,secb-tools:njs.cve-2022-38890-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
faad2.cve-2021-32272-A3-0,dataset/runs/faad2.cve-2021-32272/A3/0,,0,,True,secb-tools:faad2.cve-2021-32272-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""heap-buffer-overflow"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-32414-A3-0,dataset/runs/njs.cve-2022-32414/A3/0,,0,,True,secb-tools:njs.cve-2022-32414-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
openjpeg.cve-2016-7445-A2-0,dataset/runs/openjpeg.cve-2016-7445/A2/0,,0,,True,secb-tools:openjpeg.cve-2016-7445-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
faad2.cve-2021-32272-A1-0,dataset/runs/faad2.cve-2021-32272/A1/0,,0,,True,secb-tools:faad2.cve-2021-32272-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""heap-buffer-overflow"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
openjpeg.cve-2016-7445-A1-0,dataset/runs/openjpeg.cve-2016-7445/A1/0,,0,,True,secb-tools:openjpeg.cve-2016-7445-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
