tool_name,A1_total,A1_mean_per_run,A1_pct,A2_total,A2_mean_per_run,A2_pct
Bash,1210,121,63.51706036745407,1101,110.1,67.83733826247689
Read,522,52.2,27.401574803149607,358,35.8,22.057917436845347
Grep,57,5.7,2.9921259842519685,81,8.1,4.990757855822551
Edit,31,3.1,1.627296587926509,44,4.4,2.7110289587184226
Glob,20,2,1.0498687664041995,0,0,0.0
Write,15,1.5,0.7874015748031497,33,3.3,2.033271719038817
Agent,14,1.4,0.7349081364829396,0,0,0.0
WebSearch,12,1.2,0.6299212598425197,0,0,0.0
TodoWrite,10,1,0.5249343832020997,5,0.5,0.3080714725816389
WebFetch,8,0.8,0.4199475065616798,0,0,0.0
ToolSearch,5,0.5,0.26246719160104987,1,0.1,0.061614294516327786
Skill,1,0.1,0.05249343832020997,0,0,0.0
