cve_id,cell,pair_type,agent_a,role_a,agent_b,role_b,jaccard
njs.cve-2022-32414,B1,sibling,92b9cbea-1dfa-41be-ab3e-e30c7d767669,WORKER,9a5623f4-a82a-4e9c-b7a8-45c5eab2f2d7,WORKER,0.8787413660782809
njs.cve-2022-32414,B1,hierarchy,fd87f833-43be-4dc9-8d33-bdeafc21d217,BOSS,92b9cbea-1dfa-41be-ab3e-e30c7d767669,WORKER,0.13696715583508037
njs.cve-2022-32414,B1,hierarchy,fd87f833-43be-4dc9-8d33-bdeafc21d217,BOSS,9a5623f4-a82a-4e9c-b7a8-45c5eab2f2d7,WORKER,0.1382223724231159
njs.cve-2022-32414,B2,sibling,2c34f66e-719a-44bb-b3f5-a457c3865b6d,WORKER,4d7f5250-0105-4378-b96b-235b5761d93f,WORKER,0.9619852164730729
njs.cve-2022-32414,B2,sibling,2c34f66e-719a-44bb-b3f5-a457c3865b6d,WORKER,575c9c27-6cdc-4ce8-9fd0-3864207077e8,WORKER,0.9445799930289299
njs.cve-2022-32414,B2,sibling,4d7f5250-0105-4378-b96b-235b5761d93f,WORKER,575c9c27-6cdc-4ce8-9fd0-3864207077e8,WORKER,0.9608861197646245
njs.cve-2022-32414,B2,hierarchy,eb58a103-9976-4f37-8deb-b207b021c583,BOSS,2c34f66e-719a-44bb-b3f5-a457c3865b6d,WORKER,0.27130852340936373
njs.cve-2022-32414,B2,hierarchy,eb58a103-9976-4f37-8deb-b207b021c583,BOSS,4d7f5250-0105-4378-b96b-235b5761d93f,WORKER,0.2685647196947461
njs.cve-2022-32414,B2,hierarchy,eb58a103-9976-4f37-8deb-b207b021c583,BOSS,575c9c27-6cdc-4ce8-9fd0-3864207077e8,WORKER,0.2711515863689777
njs.cve-2022-38890,B1,sibling,0b80aaaf-1260-4342-ac0e-20a1f8fe1da2,WORKER,d57618b5-bcc2-4e1c-8119-23cf1aedf126,WORKER,0.8681767545488303
njs.cve-2022-38890,B1,hierarchy,c83245b5-eaa3-4bf7-a775-c73aa86ab815,BOSS,0b80aaaf-1260-4342-ac0e-20a1f8fe1da2,WORKER,0.13438464175522796
njs.cve-2022-38890,B1,hierarchy,c83245b5-eaa3-4bf7-a775-c73aa86ab815,BOSS,d57618b5-bcc2-4e1c-8119-23cf1aedf126,WORKER,0.13234811165845647
njs.cve-2022-38890,B2,sibling,a55fc99b-1f8c-4c09-b29f-a2fd61bd7290,WORKER,f807ab44-20a6-4d5c-8076-d456a998b055,WORKER,0.9558567952728537
njs.cve-2022-38890,B2,sibling,a55fc99b-1f8c-4c09-b29f-a2fd61bd7290,WORKER,1be062ef-8ca9-4d46-aa26-1f42e88a18e2,WORKER,0.932469304229195
njs.cve-2022-38890,B2,sibling,f807ab44-20a6-4d5c-8076-d456a998b055,WORKER,1be062ef-8ca9-4d46-aa26-1f42e88a18e2,WORKER,0.9595375722543352
njs.cve-2022-38890,B2,hierarchy,5b1464d1-48b2-414d-bb2d-8ebdc2f4efa0,BOSS,a55fc99b-1f8c-4c09-b29f-a2fd61bd7290,WORKER,0.27039139527935463
njs.cve-2022-38890,B2,hierarchy,5b1464d1-48b2-414d-bb2d-8ebdc2f4efa0,BOSS,f807ab44-20a6-4d5c-8076-d456a998b055,WORKER,0.2664531158998253
njs.cve-2022-38890,B2,hierarchy,5b1464d1-48b2-414d-bb2d-8ebdc2f4efa0,BOSS,1be062ef-8ca9-4d46-aa26-1f42e88a18e2,WORKER,0.2660126947489902
faad2.cve-2021-32272,B1,sibling,fefd78cf-f714-4212-a15c-186a6975ecd9,WORKER,323b9a17-dcfe-43f5-b4ff-58c57b3089f6,WORKER,0.8798543689320388
faad2.cve-2021-32272,B1,hierarchy,ffac5aaa-ed2e-4525-a301-e6d78f065445,BOSS,fefd78cf-f714-4212-a15c-186a6975ecd9,WORKER,0.1429616087751371
faad2.cve-2021-32272,B1,hierarchy,ffac5aaa-ed2e-4525-a301-e6d78f065445,BOSS,323b9a17-dcfe-43f5-b4ff-58c57b3089f6,WORKER,0.1409985935302391
faad2.cve-2021-32272,B2,sibling,3f472dc5-d6d3-4697-8caa-545d6dbcd721,WORKER,4b996055-f873-4d8d-9050-612f3bbd5b93,WORKER,0.9470672389127325
faad2.cve-2021-32272,B2,sibling,3f472dc5-d6d3-4697-8caa-545d6dbcd721,WORKER,6d66bb62-94c6-43e9-bf92-37d91aef4c89,WORKER,0.9144942648592284
faad2.cve-2021-32272,B2,sibling,4b996055-f873-4d8d-9050-612f3bbd5b93,WORKER,6d66bb62-94c6-43e9-bf92-37d91aef4c89,WORKER,0.9492173913043478
faad2.cve-2021-32272,B2,hierarchy,eea8e9fc-2e33-425d-809b-0e6e4b5b38fa,BOSS,3f472dc5-d6d3-4697-8caa-545d6dbcd721,WORKER,0.2831288343558282
faad2.cve-2021-32272,B2,hierarchy,eea8e9fc-2e33-425d-809b-0e6e4b5b38fa,BOSS,4b996055-f873-4d8d-9050-612f3bbd5b93,WORKER,0.27845832088437406
faad2.cve-2021-32272,B2,hierarchy,eea8e9fc-2e33-425d-809b-0e6e4b5b38fa,BOSS,6d66bb62-94c6-43e9-bf92-37d91aef4c89,WORKER,0.2792341678939617
faad2.cve-2018-20196,B1,sibling,29fb899d-4e8a-4062-b8d6-fdda53ca3781,WORKER,42041370-7387-4fc5-8ae9-70e735d7694e,WORKER,0.8422883649014302
faad2.cve-2018-20196,B1,hierarchy,e109872b-2ce7-4994-91b3-6d5d232d8ce7,BOSS,29fb899d-4e8a-4062-b8d6-fdda53ca3781,WORKER,0.1457049655672345
faad2.cve-2018-20196,B1,hierarchy,e109872b-2ce7-4994-91b3-6d5d232d8ce7,BOSS,42041370-7387-4fc5-8ae9-70e735d7694e,WORKER,0.13549488054607509
faad2.cve-2018-20196,B2,sibling,41a69c88-6eff-449f-be4c-850ed3d9debf,WORKER,fc616467-429c-4f8b-b63a-a546904e6cbc,WORKER,0.9444844989185291
faad2.cve-2018-20196,B2,sibling,41a69c88-6eff-449f-be4c-850ed3d9debf,WORKER,5aaa2e0e-1315-44ba-af5e-eb38de743f5f,WORKER,0.9079497907949791
faad2.cve-2018-20196,B2,sibling,fc616467-429c-4f8b-b63a-a546904e6cbc,WORKER,5aaa2e0e-1315-44ba-af5e-eb38de743f5f,WORKER,0.9341421143847487
faad2.cve-2018-20196,B2,hierarchy,4062b45e-e033-488a-b9aa-fab8ef1ad78f,BOSS,41a69c88-6eff-449f-be4c-850ed3d9debf,WORKER,0.28527227722772275
faad2.cve-2018-20196,B2,hierarchy,4062b45e-e033-488a-b9aa-fab8ef1ad78f,BOSS,fc616467-429c-4f8b-b63a-a546904e6cbc,WORKER,0.2833483890394459
faad2.cve-2018-20196,B2,hierarchy,4062b45e-e033-488a-b9aa-fab8ef1ad78f,BOSS,5aaa2e0e-1315-44ba-af5e-eb38de743f5f,WORKER,0.2863070539419087
mruby.cve-2022-0240,B1,sibling,b041ecf9-217c-4e0a-9d6f-3752aa54e73b,WORKER,b832962e-9e79-448b-955a-bc55dd860ea8,WORKER,0.8605969021533811
mruby.cve-2022-0240,B1,hierarchy,773af73a-d649-472a-8984-efd1e7ae1f94,BOSS,b041ecf9-217c-4e0a-9d6f-3752aa54e73b,WORKER,0.13695271453590194
mruby.cve-2022-0240,B1,hierarchy,773af73a-d649-472a-8984-efd1e7ae1f94,BOSS,b832962e-9e79-448b-955a-bc55dd860ea8,WORKER,0.13593854375417502
gpac.cve-2022-1795,B1,sibling,b6342b9f-349b-4cc5-9843-5f2e6407e52b,WORKER,9682e581-1d67-4aa9-99e5-c2dafd06fcba,WORKER,0.9087237479806138
gpac.cve-2022-1795,B1,hierarchy,0cb42f66-79cb-401c-8ae2-fbfe556543a3,BOSS,b6342b9f-349b-4cc5-9843-5f2e6407e52b,WORKER,0.10407124681933842
gpac.cve-2022-1795,B1,hierarchy,0cb42f66-79cb-401c-8ae2-fbfe556543a3,BOSS,9682e581-1d67-4aa9-99e5-c2dafd06fcba,WORKER,0.10039370078740158
gpac.cve-2022-1795,B2,sibling,85c0086e-2883-4b09-836a-741b7ac88809,WORKER,18838fa3-1399-44b8-84cb-65e8905af008,WORKER,0.9720297664870413
gpac.cve-2022-1795,B2,sibling,85c0086e-2883-4b09-836a-741b7ac88809,WORKER,6302c6e5-3451-4381-993e-09418e0b04b3,WORKER,0.9491183879093199
gpac.cve-2022-1795,B2,sibling,18838fa3-1399-44b8-84cb-65e8905af008,WORKER,6302c6e5-3451-4381-993e-09418e0b04b3,WORKER,0.9590966122961104
gpac.cve-2022-1795,B2,hierarchy,94d96a60-d662-4012-a9d9-23373a41a6da,BOSS,85c0086e-2883-4b09-836a-741b7ac88809,WORKER,0.20757299270072993
gpac.cve-2022-1795,B2,hierarchy,94d96a60-d662-4012-a9d9-23373a41a6da,BOSS,18838fa3-1399-44b8-84cb-65e8905af008,WORKER,0.20733903647005852
gpac.cve-2022-1795,B2,hierarchy,94d96a60-d662-4012-a9d9-23373a41a6da,BOSS,6302c6e5-3451-4381-993e-09418e0b04b3,WORKER,0.2081195627927727
gpac.cve-2021-40575,B1,sibling,cf807fda-d621-44ad-a45e-90f36fda4342,WORKER,da623b94-1d68-4b97-ade6-f35aeba1b7c9,WORKER,0.899192425508215
gpac.cve-2021-40575,B1,hierarchy,f453a92f-0f04-4a1c-9874-df3b5a51eefa,BOSS,cf807fda-d621-44ad-a45e-90f36fda4342,WORKER,0.10400210637177462
gpac.cve-2021-40575,B1,hierarchy,f453a92f-0f04-4a1c-9874-df3b5a51eefa,BOSS,da623b94-1d68-4b97-ade6-f35aeba1b7c9,WORKER,0.10375443937087772
gpac.cve-2021-40575,B2,sibling,64a2b2e4-2c2c-444b-b835-7d8a9cb726a7,WORKER,53f3d390-da13-4324-8e9d-677d020c4cb3,WORKER,0.9705882352941176
