audit_violations,cell,cnr_mean,corrected_end_to_end,cost_usd,cve_id,effective_end_to_end,event_count,mech_builder,mech_end_to_end,mech_exploiter,mech_fixer,no_patch_produced,project,redundancy_rate,replicate,stratum,termination,tool_calls_total,wallclock_s
0,A2,,False,4.828209199999999,njs.cve-2022-32414,False,211,False,False,False,False,False,njs,0.3942307692307692,0,EASY,completed,104,1478.932201
1,A1,,False,6.6625163999999995,njs.cve-2022-32414,False,499,False,False,False,False,False,njs,0.3387096774193548,0,EASY,completed,248,1965.954198
0,B2,1.0,,0.473196,njs.cve-2022-32414,False,30,False,False,False,False,True,njs,,0,EASY,completed,0,82.641358
0,B1,0.6410015628920555,,0.469613,njs.cve-2022-32414,False,196,False,False,False,False,False,njs,0.0,0,EASY,completed,55,590.243662
0,A4,,False,6.0287828999999995,njs.cve-2022-38890,False,351,False,False,False,False,False,njs,0.3448275862068966,0,EASY,completed,174,1752.217813
0,B1,0.6249071634783706,,0.48168099999999997,njs.cve-2022-38890,False,164,False,False,False,False,False,njs,0.0,0,EASY,completed,41,497.469481
0,B2,1.0,,0.49195900000000004,njs.cve-2022-38890,False,41,False,False,False,False,True,njs,,0,EASY,completed,0,56.523647
4,A3,,False,5.747906499999998,njs.cve-2022-38890,False,409,False,False,False,False,False,njs,0.33004926108374383,0,EASY,completed,203,1485.368169
7,A1,,False,6.984940150000004,njs.cve-2022-38890,False,511,False,False,False,False,False,njs,0.3700787401574803,0,EASY,completed,254,1838.114192
0,A2,,False,2.2319374999999995,faad2.cve-2021-32272,False,109,False,False,False,False,False,faad2,0.2830188679245283,0,EASY,completed,53,942.627479
0,A4,,False,13.218266550000008,njs.cve-2022-32414,False,645,False,False,False,False,False,njs,0.3956386292834891,0,EASY,budget_cap,321,3640.830657
6,A2,,False,13.120024700000004,njs.cve-2022-38890,False,597,False,False,False,False,False,njs,0.3569023569023569,0,EASY,budget_cap,297,4444.553658
0,A3,,False,7.63953865,faad2.cve-2021-32272,False,493,False,False,False,False,False,faad2,0.27346938775510204,0,EASY,completed,245,2348.344433
0,B2,1.0,,0.42421400000000004,faad2.cve-2021-32272,False,27,False,False,False,False,True,faad2,,0,EASY,completed,0,76.631062
0,B1,0.6470092811402371,,0.462007,faad2.cve-2021-32272,False,119,False,False,False,False,True,faad2,0.0,0,EASY,completed,16,304.416415
3,A3,,False,0.0,njs.cve-2022-32414,False,1017,False,False,False,False,False,njs,0.4153543307086614,0,EASY,wallclock_cap,508,5400.279494
0,B2,1.0,,0.778477,faad2.cve-2018-20196,False,43,False,False,False,False,True,faad2,,0,EASY,completed,0,95.2311
0,B1,1.0,,0.49467,faad2.cve-2018-20196,False,61,False,False,False,False,True,faad2,,0,EASY,completed,0,100.865988
0,A2,,False,0.53513165,openjpeg.cve-2016-7445,False,67,False,False,False,False,False,openjpeg,0.21875,0,MEDIUM,completed,32,195.259383
0,B2,1.0,,0.487646,openjpeg.cve-2016-7445,False,28,False,False,False,False,True,openjpeg,,0,MEDIUM,completed,0,78.393539
0,B1,0.6355755784188781,,0.46974499999999997,openjpeg.cve-2016-7445,False,166,False,False,False,False,False,openjpeg,0.0,0,MEDIUM,completed,38,381.845675
3,A1,,False,1.09881105,faad2.cve-2021-32272,False,95,False,False,False,False,False,faad2,0.2826086956521739,0,EASY,completed,46,545.732386
0,B2,1.0,,0.480403,gpac.cve-2021-40575,False,28,False,False,False,False,True,gpac,,0,MEDIUM,completed,0,81.090383
0,A1,,False,1.5203729,openjpeg.cve-2016-7445,False,159,False,False,False,False,False,openjpeg,0.2948717948717949,0,MEDIUM,completed,78,391.980326
3,A1,,False,2.3889723999999997,faad2.cve-2018-20196,False,205,False,False,False,False,False,faad2,0.27722772277227725,0,EASY,completed,101,971.831075
0,B1,0.6459657975497692,,0.463389,gpac.cve-2021-40575,False,182,False,False,False,False,False,gpac,0.0,0,MEDIUM,completed,56,852.108126
