audit_violations_B1,audit_violations_B2,audit_violations_delta,cache_creation_tokens_total_B1,cache_creation_tokens_total_B2,cache_creation_tokens_total_delta,cache_read_tokens_total_B1,cache_read_tokens_total_B2,cache_read_tokens_total_delta,cnr_mean_B1,cnr_mean_B2,cnr_mean_delta,cnr_n_prompts_B1,cnr_n_prompts_B2,cnr_n_prompts_delta,cve_id,event_count_B1,event_count_B2,event_count_delta,input_tokens_total_B1,input_tokens_total_B2,input_tokens_total_delta,mech_builder_B1,mech_builder_B2,mech_builder_delta,mech_end_to_end_B1,mech_end_to_end_B2,mech_end_to_end_delta,mech_exploiter_B1,mech_exploiter_B2,mech_exploiter_delta,mech_fixer_B1,mech_fixer_B2,mech_fixer_delta,output_tokens_total_B1,output_tokens_total_B2,output_tokens_total_delta,patch_on_disk_B1,patch_on_disk_B2,patch_on_disk_delta,poc_on_disk_B1,poc_on_disk_B2,poc_on_disk_delta,redundancy_hierarchy_B1,redundancy_hierarchy_B2,redundancy_hierarchy_delta,redundancy_intra_B1,redundancy_intra_B2,redundancy_intra_delta,redundancy_rate_total_B1,redundancy_rate_total_B2,redundancy_rate_total_delta,redundancy_sibling_B1,redundancy_sibling_B2,redundancy_sibling_delta,report_on_disk_B1,report_on_disk_B2,report_on_disk_delta,security_tool_adoption_B1,security_tool_adoption_B2,security_tool_adoption_delta,security_tool_invocations_B1,security_tool_invocations_B2,security_tool_invocations_delta,tc_cache_creation_tokens_B1,tc_cache_creation_tokens_B2,tc_cache_creation_tokens_delta,tc_cache_read_tokens_B1,tc_cache_read_tokens_B2,tc_cache_read_tokens_delta,tc_cost_usd_B1,tc_cost_usd_B2,tc_cost_usd_delta,tc_input_tokens_B1,tc_input_tokens_B2,tc_input_tokens_delta,tc_output_tokens_B1,tc_output_tokens_B2,tc_output_tokens_delta,termination_reason_B1,termination_reason_B2,tool_calls_total_B1,tool_calls_total_B2,tool_calls_total_delta,total_cost_usd_B1,total_cost_usd_B2,total_cost_usd_delta,wallclock_seconds_B1,wallclock_seconds_B2,wallclock_seconds_delta,wcr_cache_creation_tokens_B1,wcr_cache_creation_tokens_B2,wcr_cache_creation_tokens_delta,wcr_cache_read_tokens_B1,wcr_cache_read_tokens_B2,wcr_cache_read_tokens_delta,wcr_cost_usd_B1,wcr_cost_usd_B2,wcr_cost_usd_delta,wcr_input_tokens_B1,wcr_input_tokens_B2,wcr_input_tokens_delta,wcr_output_tokens_B1,wcr_output_tokens_B2,wcr_output_tokens_delta
3,1,-2,0,963447,963447,0,24807061,24807061,0.4804878232511546,0.08872483892521361,-0.391762984325941,5,27,22,exiv2.cve-2017-14859,436.0,956.0,520.0,195762,859346,663584,False,False,0,False,False,0,False,False,0,False,False,0,10663,100601,89938,False,True,1,True,True,0,0,0,0,90,50,-40,0.6666666666666666,0.34977578475336324,-0.3168908819133034,14,28,14,False,False,0,True,False,-1,1,0,-1,0,0,0,0,0,0,0.9045239999999999,3.4067629999999993,2.5022389999999994,195762,859085,663323,10663,37723,27060,completed,anomaly:worker_stuck,156,223,67,0.9045239999999999,15.807213550000004,14.902689550000003,1399.743325,2700.977893,1301.2345680000003,0,963447,963447,0,24807061,24807061,0.0,12.400450550000004,12.400450550000004,0,261,261,0,62878,62878
0,0,0,136353,589908,453555,6059170,19904521,13845351,0.47396649095478666,0.08614994457732573,-0.38781654637746094,5,27,22,faad2.cve-2018-20196,307.0,1035.0,728.0,176061,920618,744557,False,False,0,False,False,0,False,False,0,False,False,0,32883,96423,63540,True,True,0,False,True,1,0,0,0,22,73,51,0.32051282051282054,0.3991769547325103,0.07866413421968976,3,24,21,True,True,0,False,False,0,0,0,0,0,0,0,0,0,0,0.813806,3.5103309999999994,2.6965249999999994,175974,920338,744364,11089,37737,26648,completed,anomaly:worker_stuck,78,243,165,3.604235750000001,13.076115299999998,9.471879549999997,769.708487,2700.872242,1931.163755,136353,589908,453555,6059170,19904521,13845351,2.790429750000001,9.565784299999999,6.775354549999998,87,280,193,21794,58686,36892
0,0,0,187483,207957,20474,7932001,7181685,-750316,0.36101664412627443,0.24333648531771782,-0.11768015880855662,7,8,1,faad2.cve-2021-32272,441.0,275.0,-166.0,230042,158651,-71391,False,False,0,False,False,0,False,False,0,False,False,0,46573,29717,-16856,True,True,0,True,True,0,0,0,0,32,17,-15,0.411214953271028,0.2978723404255319,-0.11334261284549613,12,11,-1,True,True,0,False,False,0,0,0,0,0,0,0,0,0,0,1.033725,0.712731,-0.320994,229922,158544,-71378,14879,7375,-7504,completed,completed,107,94,-13,4.77316055,4.188744250000001,-0.5844162999999991,1249.090601,971.039928,-278.0506730000001,187483,207957,20474,7932001,7181685,-750316,3.7394355499999996,3.4760132500000007,-0.2634222999999989,120,107,-13,31694,22342,-9352
3,0,-3,346911,204937,-141974,15397191,7646385,-7750806,0.35988631791353526,0.10750221563229209,-0.2523841022812432,7,22,15,gpac.cve-2021-40575,405.0,887.0,482.0,197305,1091305,894000,False,False,0,False,False,0,False,False,0,False,False,0,49691,56864,7173,True,True,0,True,True,0,0,0,0,50,87,37,0.4789915966386555,0.5306122448979592,0.051620648259303736,7,17,10,True,True,0,False,False,0,0,0,0,0,0,0,0,0,0,0.9079370000000001,3.959789000000002,3.051852000000002,197174,1091230,894056,12219,42752,30533,anomaly:worker_stuck,anomaly:worker_stuck,119,196,77,7.5628005499999995,7.3552542500000015,-0.20754629999999796,1286.727593,2700.664814,1413.9372210000001,346911,204937,-141974,15397191,7646385,-7750806,6.654863549999999,3.39546525,-3.259398299999999,131,75,-56,37472,14112,-23360
1,0,-1,354132,0,-354132,19470421,0,-19470421,0.3670900508126179,0.12111198278426996,-0.24597806802834796,7,19,12,gpac.cve-2022-1795,368.0,775.0,407.0,143008,1121241,978233,False,False,0,False,False,0,False,False,0,False,False,0,44218,42498,-1720,True,False,-1,True,False,-1,0,0,0,62,8,-54,0.4129032258064516,0.2857142857142857,-0.12718894009216591,2,0,-2,True,False,-1,True,True,0,2,2,0,0,0,0,0,0,0,0.7024469999999999,4.115309,3.412862,142844,1121241,978397,8881,42498,33617,completed,anomaly:worker_stuck,155,28,-127,8.780962299999995,4.115309,-4.665653299999995,1515.427,2700.988363,1185.561363,354132,0,-354132,19470421,0,-19470421,8.078515299999996,0.0,-8.078515299999996,164,0,-164,35337,0,-35337
6,0,-6,0,202757,202757,0,2383361,2383361,0.37335833205722946,0.11445833930438618,-0.25889999275284326,7,20,13,imagemagick.cve-2019-13309,534.0,708.0,174.0,243302,928254,684952,True,True,0,False,False,0,False,False,0,False,False,0,13524,45818,32294,True,False,-1,False,False,0,0,0,0,91,33,-58,0.5773195876288659,0.47297297297297297,-0.10434661465589296,21,2,-19,False,False,0,True,True,0,2,2,0,0,0,0,0,0,0,1.0681679999999998,3.478098,2.40993,243302,928229,684927,13524,40144,26620,anomaly:worker_stuck,anomaly:worker_stuck,194,74,-120,1.0681679999999998,5.062394050000001,3.994226050000001,2073.14962,2700.979336,627.8297159999997,0,202757,202757,0,2383361,2383361,0.0,1.5842960500000005,1.5842960500000005,0,25,25,0,5674,5674
4,0,-4,184652,65072,-119580,9218414,2690356,-6528058,0.3565373993641516,0.11415540934662492,-0.24238199001752664,7,19,12,mruby.cve-2022-0240,512.0,774.0,262.0,223472,1107553,884081,True,True,0,False,False,0,False,False,0,False,False,0,38029,51131,13102,False,False,0,True,True,0,0,0,0,63,7,-56,0.54,0.19444444444444445,-0.3455555555555556,18,0,-18,True,False,-1,True,False,-1,5,0,-5,0,0,0,0,0,0,0.9909700000000001,4.104367000000001,3.113397000000001,223371,1107512,884141,13469,43772,30303,anomaly:worker_stuck,anomaly:worker_stuck,150,36,-114,4.980523199999999,5.321906800000001,0.3413836000000021,1652.930225,2701.432599,1048.5023740000001,184652,65072,-119580,9218414,2690356,-6528058,3.9895531999999987,1.2175397999999995,-2.772013399999999,101,41,-60,24560,7359,-17201
1,0,-1,141852,248440,106588,6070688,5327232,-743456,0.4760074377344717,0.10295184864557992,-0.37305558908889175,5,22,17,njs.cve-2022-32414,289.0,811.0,522.0,149390,1002487,853097,False,False,0,False,False,0,False,False,0,False,False,0,32292,57983,25691,True,False,-1,True,True,0,0,0,0,25,7,-18,0.3974358974358974,0.22972972972972974,-0.16770616770616767,6,10,4,True,False,-1,False,False,0,0,0,0,0,0,0,0,0,0,0.7365249999999999,3.6395099999999987,2.902984999999999,149306,1002399,853093,8565,42312,33747,completed,anomaly:worker_stuck,78,74,-4,3.5351813999999995,6.541218599999999,3.0060371999999993,878.133387,2701.91798,1823.7845930000003,141852,248440,106588,6070688,5327232,-743456,2.7986563999999996,2.9017085999999996,0.10305220000000004,84,88,4,23727,15671,-8056
0,1,1,0,294873,294873,0,11460054,11460054,,0.10385772844238027,,0,22,22,njs.cve-2022-38890,5.0,953.0,948.0,0,1122848,1122848,False,False,0,False,False,0,False,False,0,False,False,0,0,80236,80236,False,True,1,True,True,0,0,0,0,0,46,46,,0.43448275862068964,,0,17,17,True,True,0,False,False,0,0,0,0,0,0,0,0,0,0,0.0,4.161693,4.161693,0,1122691,1122691,0,44064,44064,completed,anomaly:worker_stuck,0,145,145,0.0,9.50452095,9.50452095,30.192957,2701.034539,2670.841582,0,294873,294873,0,11460054,11460054,0.0,5.342827949999999,5.342827949999999,0,157,157,0,36172,36172
0,0,0,253835,936027,682192,6164017,24721538,18557521,0.3598194435514654,0.07535504796282329,-0.2844643955886421,7,31,24,openjpeg.cve-2016-7445,360.0,1053.0,693.0,242801,836672,593871,False,False,0,False,False,0,False,False,0,False,False,0,36179,106657,70478,False,True,1,True,True,0,0,0,0,17,78,61,0.39705882352941174,0.46096654275092935,0.06390771922151761,10,46,36,False,False,0,True,False,-1,4,0,-4,0,0,0,0,0,0,1.057392,3.1002759999999996,2.0428839999999995,242723,836351,593628,14488,35769,21281,completed,anomaly:worker_stuck,68,269,201,4.31978535,15.638578650000001,11.318793300000001,859.794546,2700.855465,1841.060919,253835,936027,682192,6164017,24721538,18557521,3.2623933500000004,12.538302650000002,9.275909300000002,78,321,243,21691,70888,49197
