cell,cve_id,jaccard,kind,max,mean,median,min,n,pair_type,scope
B1,exiv2.cve-2017-14859,0.6742034943473793,pair,,,,,,sibling,worker_only
B1,exiv2.cve-2017-14859,0.34758064516129034,pair,,,,,,hierarchy,worker_only
B1,exiv2.cve-2017-14859,0.3466453674121406,pair,,,,,,hierarchy,worker_only
B1,exiv2.cve-2017-14859,0.6742034943473793,pair,,,,,,sibling,full_tree
B1,exiv2.cve-2017-14859,0.34758064516129034,pair,,,,,,hierarchy,full_tree
B1,exiv2.cve-2017-14859,0.3466453674121406,pair,,,,,,hierarchy,full_tree
B2,exiv2.cve-2017-14859,0.9093464511595222,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9257673090649536,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9141843971631206,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.923352435530086,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9363376251788269,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9057002111189303,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9133522727272727,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9193433261955746,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.925845932325414,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9307359307359307,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9166666666666666,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9275053304904051,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9121574139142656,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9163090128755365,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9203980099502488,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9081990189208129,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9068278805120911,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9055673009161381,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9255547602004295,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9173144876325088,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.9369108049311095,pair,,,,,,sibling,worker_only
B2,exiv2.cve-2017-14859,0.5443175638934203,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.8861622358554874,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.9066390041493776,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.9033816425120773,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.883321894303363,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.8961748633879781,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.906184850590688,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.9078855547801814,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.8787878787878788,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.8819112627986349,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.9056732740943267,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.8873904248145651,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.8834688346883469,pair,,,,,,hierarchy,worker_only
B2,exiv2.cve-2017-14859,0.83149708360337,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.8436268068331143,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.8675767918088737,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.8432642487046632,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.83841059602649,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.8521505376344086,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.9093464511595222,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.9257673090649536,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.9141843971631206,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.923352435530086,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.9363376251788269,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.9057002111189303,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.9133522727272727,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.9193433261955746,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.925845932325414,pair,,,,,,sibling,full_tree
B2,exiv2.cve-2017-14859,0.9307359307359307,pair,,,,,,sibling,full_tree
