b_y_wins,c_x_wins,ci_hi,ci_lo,diff_rate,inclusion_policy,max_B1,max_B2,mean_B1,mean_B2,mean_diff,median_B1,median_B2,median_diff,median_x,median_y,metric,min_B1,min_B2,n_B1,n_B2,n_discordant,n_pairs,note,p_exact,p_two_sided,statistic,test
0,0,0.0,0.0,0.0,all,0.0,0.0,0.0,0.0,,0.0,0.0,,,,mech_end_to_end,0.0,0.0,10,10,0,10,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,completed_only,0.0,0.0,0.0,0.0,,0.0,0.0,,,,mech_end_to_end,0.0,0.0,1,1,0,1,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,all,1.0,1.0,0.2,0.2,,0.0,0.0,,,,mech_builder,0.0,0.0,10,10,0,10,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,completed_only,0.0,0.0,0.0,0.0,,0.0,0.0,,,,mech_builder,0.0,0.0,1,1,0,1,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,all,0.0,0.0,0.0,0.0,,0.0,0.0,,,,mech_exploiter,0.0,0.0,10,10,0,10,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,completed_only,0.0,0.0,0.0,0.0,,0.0,0.0,,,,mech_exploiter,0.0,0.0,1,1,0,1,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,all,0.0,0.0,0.0,0.0,,0.0,0.0,,,,mech_fixer,0.0,0.0,10,10,0,10,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,completed_only,0.0,0.0,0.0,0.0,,0.0,0.0,,,,mech_fixer,0.0,0.0,1,1,0,1,,1.0,,,McNemar exact binomial
3,3,0.5,-0.5,0.0,all,1.0,1.0,0.6,0.6,,1.0,1.0,,,,patch_on_disk,0.0,0.0,10,10,6,10,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,completed_only,1.0,1.0,1.0,1.0,,1.0,1.0,,,,patch_on_disk,1.0,1.0,1,1,0,1,,1.0,,,McNemar exact binomial
0,3,0.0,-0.6000000000000001,-0.3,all,1.0,1.0,0.7,0.4,,1.0,0.0,,,,report_on_disk,0.0,0.0,10,10,3,10,,0.25,,,McNemar exact binomial
0,0,0.0,0.0,0.0,completed_only,1.0,1.0,1.0,1.0,,1.0,1.0,,,,report_on_disk,1.0,1.0,1,1,0,1,,1.0,,,McNemar exact binomial
1,1,0.30000000000000004,-0.30000000000000004,0.0,all,1.0,1.0,0.8,0.8,,1.0,1.0,,,,poc_on_disk,0.0,0.0,10,10,2,10,,1.0,,,McNemar exact binomial
0,0,0.0,0.0,0.0,completed_only,1.0,1.0,1.0,1.0,,1.0,1.0,,,,poc_on_disk,1.0,1.0,1,1,0,1,,1.0,,,McNemar exact binomial
0,3,0.0,-0.6,-0.3,all,1.0,1.0,0.5,0.2,,0.5,0.0,,,,security_tool_adoption,0.0,0.0,10,10,3,10,,0.25,,,McNemar exact binomial
0,0,0.0,0.0,0.0,completed_only,0.0,0.0,0.0,0.0,,0.0,0.0,,,,security_tool_adoption,0.0,0.0,1,1,0,1,,1.0,,,McNemar exact binomial
,,,,,all,8.780962299999995,15.807213550000004,3.9529341099999997,8.66112554,4.708191430000001,3.9620105500000005,6.948236425,3.500131625,3.9620105500000005,6.948236425,total_cost_usd,0.0,4.115309,10,10,,10,,,0.083984375,10.0,Wilcoxon signed-rank (two-sided)
