H,b_y_wins,c_x_wins,cell_x,cell_y,cells,ci_hi,ci_lo,comparison_id,cves,diff_rate,max,mean,median,medians,metric,min,n,n_discordant,n_pairs,p_exact,p_overall,pairwise,reject_null_bh_0p1,test,x_pass,y_pass
,0,0,A1,B2,,0.0,0.0,H1,"njs.cve-2022-32414,njs.cve-2022-38890,faad2.cve-2021-32272,openjpeg.cve-2016-7445,faad2.cve-2018-20196,gpac.cve-2021-40575,mruby.cve-2022-0240,exiv2.cve-2017-14859,gpac.cve-2022-1795,imagemagick.cve-2019-13309",0.0,,,,,end_to_end_pass_effective,,,0,10,1.0,,,False,McNemar exact binomial,0,0
,0,0,B1,B2,,0.0,0.0,S1,"njs.cve-2022-32414,njs.cve-2022-38890,faad2.cve-2021-32272,faad2.cve-2018-20196,openjpeg.cve-2016-7445,gpac.cve-2021-40575,mruby.cve-2022-0240,exiv2.cve-2017-14859,gpac.cve-2022-1795,imagemagick.cve-2019-13309",0.0,,,,,end_to_end_pass_effective,,,0,10,1.0,,,False,McNemar exact binomial,0,0
,0,0,A2,B1,,0.0,0.0,S4,"njs.cve-2022-32414,faad2.cve-2021-32272,njs.cve-2022-38890,openjpeg.cve-2016-7445,gpac.cve-2021-40575,faad2.cve-2018-20196,mruby.cve-2022-0240,exiv2.cve-2017-14859,gpac.cve-2022-1795,imagemagick.cve-2019-13309",0.0,,,,,end_to_end_pass_effective,,,0,10,1.0,,,False,McNemar exact binomial,0,0
,0,0,A3,B2,,0.0,0.0,S5,"njs.cve-2022-38890,faad2.cve-2021-32272,njs.cve-2022-32414",0.0,,,,,end_to_end_pass_effective,,,0,3,1.0,,,False,McNemar exact binomial,0,0
25.96570781536089,,,,,"A2,A1,B2,B1,A4,A3",,,C1,,,,,,"{""A2"": 4.8733372, ""A1"": 3.828784875, ""B2"": 0.48980250000000003, ""B1"": 0.46967899999999996, ""A4"": 9.623524725000003, ""A3"": 5.747906499999998}",cost_usd_total,,,,,,9.061291796240464e-05,"{""A2_vs_A1"": 0.6209281438231145, ""A2_vs_B2"": 0.0005828399431792745, ""A2_vs_B1"": 0.00018267179110955002, ""A2_vs_A4"": 0.2727272727272727, ""A2_vs_A3"": 1.0, ""A1_vs_B2"": 0.001098770124574993, ""A1_vs_B1"": 0.001098770124574993, ""A1_vs_A4"": 0.13186813186813187, ""A1_vs_A3"": 0.7726324769262652, ""B2_vs_B1"": 0.12122450301291661, ""B2_vs_A4"": 0.030303030303030304, ""B2_vs_A3"": 0.46853146853146854, ""B1_vs_A4"": 0.030303030303030304, ""B1_vs_A3"": 0.46853146853146854, ""A4_vs_A3"": 0.4}",,Kruskal-Wallis + Mann-Whitney pairwise,,
31.13519503546101,,,,,"A2,A1,B2,B1,A4,A3",,,C2,,,,,,"{""A2"": 1613.5767785, ""A1"": 1902.034195, ""B2"": 79.741961, ""B1"": 543.8565715, ""A4"": 2696.524235, ""A3"": 2348.344433}",wallclock_seconds,,,,,,8.808733567325944e-06,"{""A2_vs_A1"": 0.6209281438231145, ""A2_vs_B2"": 0.00018267179110955002, ""A2_vs_B1"": 0.0072845570094796615, ""A2_vs_A4"": 0.48484848484848486, ""A2_vs_A3"": 0.2167832167832168, ""A1_vs_B2"": 8.733926588357827e-05, ""A1_vs_B1"": 0.0021685684190888687, ""A1_vs_A4"": 0.6593406593406594, ""A1_vs_A3"": 0.5362637362637362, ""B2_vs_B1"": 0.004586392080253494, ""B2_vs_A4"": 0.030303030303030304, ""B2_vs_A3"": 0.006993006993006993, ""B1_vs_A4"": 0.030303030303030304, ""B1_vs_A3"": 0.006993006993006993, ""A4_vs_A3"": 1.0}",,Kruskal-Wallis + Mann-Whitney pairwise,,
,,,,,,,,R1_A1,,,0.4772117962466488,0.3481166987428365,0.3520032405361614,,redundancy_rate_total,0.27722772277227725,12,,,,,,,descriptive,,
,,,,,,,,R1_A2,,,0.4109014675052411,0.31623411535073237,0.31486310299869624,,redundancy_rate_total,0.21875,10,,,,,,,descriptive,,
,,,,,,,,R1_A3,,,0.4153543307086614,0.3396243265158358,0.33004926108374383,,redundancy_rate_total,0.27346938775510204,3,,,,,,,descriptive,,
,,,,,,,,R1_A4,,,0.3956386292834891,0.3702331077451928,0.3702331077451928,,redundancy_rate_total,0.3448275862068966,2,,,,,,,descriptive,,
,,,,,,,,R1_B1,,,0.0,0.0,0.0,,redundancy_rate_total,0.0,8,,,,,,,descriptive,,
,,,,,,,,R2_B1,,,1.0,0.6989828483463462,0.6445802430275773,,cnr_mean,0.5031983493508175,10,,,,,,,descriptive,,
,,,,,,,,R2_B2,,,1.0,1.0,1.0,,cnr_mean,1.0,10,,,,,,,descriptive,,
