artifacts_produced,audit_violations,cell,cnr_mean,cnr_n_prompts,corrected_mechanical_builder,corrected_mechanical_end_to_end,corrected_mechanical_exploiter,corrected_mechanical_fixer,cve_id,effective_pass_end_to_end,event_count,mech_builder,mech_end_to_end,mech_exploiter,mech_fixer,mechanical_pass,no_patch_produced,path,project,redundancy_hierarchy,redundancy_intra,redundancy_rate_total,redundancy_sibling,replicate,run_id,security_tool_adoption,security_tool_invocations,stratum,termination_reason,tool_calls_by_tool,tool_calls_total,total_cost_usd,wallclock_seconds,workspace_has_patch
[],0,A2,,0,False,False,False,False,njs.cve-2022-32414,False,211,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-32414/A2/0,njs,0,41,0.3942307692307692,0,0,njs.cve-2022-32414-A2-0,True,4,EASY,completed,"{""Bash"": 61, ""Read"": 36, ""Grep"": 3, ""Edit"": 4}",104,4.828209199999999,1478.932201,False
[],1,A1,,0,False,False,False,False,njs.cve-2022-32414,False,499,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-32414/A1/0,njs,0,84,0.3387096774193548,0,0,njs.cve-2022-32414-A1-0,True,6,EASY,completed,"{""Bash"": 162, ""Read"": 81, ""Agent"": 1, ""Grep"": 2, ""Edit"": 1, ""Write"": 1}",248,6.6625163999999995,1965.954198,False
[],0,B2,1.0,1,,,,,njs.cve-2022-32414,False,30,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-32414/B2/0,njs,0,0,,0,0,njs.cve-2022-32414-B2-0,False,0,EASY,completed,{},0,0.473196,82.641358,False
[],0,B1,0.6410015628920555,3,,,,,njs.cve-2022-32414,False,196,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-32414/B1/0,njs,0,0,0.0,0,0,njs.cve-2022-32414-B1-0,False,0,EASY,completed,"{""Tool"": 55}",55,0.469613,590.243662,True
[],0,A4,,0,False,False,False,False,njs.cve-2022-38890,False,351,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-38890/A4/0,njs,0,60,0.3448275862068966,0,0,njs.cve-2022-38890-A4-0,True,6,EASY,completed,"{""Bash"": 135, ""Read"": 21, ""Grep"": 10, ""Write"": 5, ""Edit"": 3}",174,6.0287828999999995,1752.217813,False
[],0,B1,0.6249071634783706,3,,,,,njs.cve-2022-38890,False,164,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-38890/B1/0,njs,0,0,0.0,0,0,njs.cve-2022-38890-B1-0,False,0,EASY,completed,"{""Tool"": 41}",41,0.48168099999999997,497.469481,True
[],0,B2,1.0,1,,,,,njs.cve-2022-38890,False,41,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-38890/B2/0,njs,0,0,,0,0,njs.cve-2022-38890-B2-0,False,0,EASY,completed,{},0,0.49195900000000004,56.523647,False
[],4,A3,,0,False,False,False,False,njs.cve-2022-38890,False,409,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-38890/A3/0,njs,0,67,0.33004926108374383,0,0,njs.cve-2022-38890-A3-0,True,5,EASY,completed,"{""Agent"": 1, ""Bash"": 166, ""Read"": 28, ""Grep"": 3, ""Edit"": 1, ""Write"": 4}",203,5.747906499999998,1485.368169,True
[],7,A1,,0,False,False,False,False,njs.cve-2022-38890,False,511,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-38890/A1/0,njs,0,94,0.3700787401574803,0,0,njs.cve-2022-38890-A1-0,True,4,EASY,completed,"{""Skill"": 1, ""Bash"": 149, ""Agent"": 2, ""Glob"": 7, ""WebSearch"": 2, ""WebFetch"": 3, ""Read"": 77, ""Grep"": 9, ""ToolSearch"": 1, ""TodoWrite"": 1, ""Edit"": 1, ""Write"": 1}",254,6.984940150000004,1838.114192,False
[],0,A2,,0,False,False,False,False,faad2.cve-2021-32272,False,109,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2021-32272/A2/0,faad2,0,15,0.2830188679245283,0,0,faad2.cve-2021-32272-A2-0,True,6,EASY,completed,"{""Bash"": 35, ""Grep"": 3, ""Read"": 12, ""Write"": 1, ""Edit"": 2}",53,2.2319374999999995,942.627479,False
