run_id,run_dir,patch_source,patch_size_bytes,repro_source,no_patch_produced,docker_image,error,pass_before,pass_after
njs.cve-2022-32414-B2-0,dataset/runs/njs.cve-2022-32414/B2/0,,0,,True,secb-tools:njs.cve-2022-32414-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-32414-B1-0,dataset/runs/njs.cve-2022-32414/B1/0,61e66044-88af-4c6d-a878-6c51270581c4/testcase/fix.patch,1147,,False,secb-tools:njs.cve-2022-32414-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-38890-B1-0,dataset/runs/njs.cve-2022-38890/B1/0,170352a5-3e01-4bd3-aae9-2ce484e0ecf6/testcase/fix.patch,364,,False,secb-tools:njs.cve-2022-38890-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
njs.cve-2022-38890-B2-0,dataset/runs/njs.cve-2022-38890/B2/0,,0,,True,secb-tools:njs.cve-2022-38890-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
faad2.cve-2021-32272-B2-0,dataset/runs/faad2.cve-2021-32272/B2/0,,0,,True,secb-tools:faad2.cve-2021-32272-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""heap-buffer-overflow"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
faad2.cve-2021-32272-B1-0,dataset/runs/faad2.cve-2021-32272/B1/0,,0,,True,secb-tools:faad2.cve-2021-32272-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""heap-buffer-overflow"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
faad2.cve-2018-20196-B2-0,dataset/runs/faad2.cve-2018-20196/B2/0,,0,,True,secb-tools:faad2.cve-2018-20196-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""stack-buffer-overflow"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
faad2.cve-2018-20196-B1-0,dataset/runs/faad2.cve-2018-20196/B1/0,,0,,True,secb-tools:faad2.cve-2018-20196-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""stack-buffer-overflow"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
openjpeg.cve-2016-7445-B2-0,dataset/runs/openjpeg.cve-2016-7445/B2/0,,0,,True,secb-tools:openjpeg.cve-2016-7445-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
openjpeg.cve-2016-7445-B1-0,dataset/runs/openjpeg.cve-2016-7445/B1/0,073f919f-c825-431b-a97f-b2305b8d6050/testcase/cve-2016-7445.patch,933,,False,secb-tools:openjpeg.cve-2016-7445-patch,,"{""builder_pass"": false, ""exploiter_pass"": false, ""fixer_pass"": false, ""end_to_end_pass"": false, ""details"": {""build_exit"": 1, ""repro_exit"": 127, ""repro_detected_class"": null, ""repro_expected_class"": ""segv"", ""patch_exit"": 1}}","{""builder"": false, ""exploiter"": false, ""fixer"": false, ""end_to_end"": false}"
