stratum,cell,n,end_to_end_pass_rate,mean_cost_usd,mean_wallclock_s
EASY,A1,4,0.0,4.283810000000001,1330.40796275
EASY,A2,4,0.0,6.397698537500001,2179.6645585
EASY,A3,3,0.0,4.462481716666666,3077.997365333334
EASY,A4,2,0.0,9.623524725000003,2696.524235
EASY,B1,4,0.0,0.47699274999999997,373.24888649999997
EASY,B2,4,0.0,0.5419615,77.75679174999999
HARD,A1,2,0.0,5.675219499999999,4268.811452
HARD,A2,2,0.0,3.37956265,1189.0722660000001
HARD,B1,2,0.0,0.3093055,555.1934615
HARD,B2,2,0.0,0.5998515,77.3327205
MEDIUM,A1,6,0.0,3.387440075,2105.742624
MEDIUM,A2,4,0.0,7.146480012500002,1967.9413977499999
MEDIUM,B1,4,0.0,0.46758174999999996,731.9316942500001
MEDIUM,B2,4,0.0,0.60926825,82.30845075
