run_id,boss_nodes,manager_nodes,worker_nodes,boss_tool_calls,manager_tool_calls,worker_tool_calls,boss_tool_composition_json,manager_tool_composition_json,worker_tool_composition_json
01c7c020-c366-4faf-aeef-be0d0b183747,1,4,6,0,0,33,{},{},"{""Bash"": 23, ""Read"": 8, ""Write"": 2}"
0418784c-b975-4e4d-9383-add4688bb103,1,4,13,0,18,316,{},"{""Write"": 1, ""mcp__security_tools__shell_in_container"": 17}","{""Bash"": 231, ""Edit"": 5, ""Grep"": 8, ""Read"": 51, ""Write"": 20, ""mcp__security_tools__shell_in_container"": 1}"
047a9a47-5ebe-4826-8ee0-c0070ff819d3,1,4,3,0,77,60,{},"{""Bash"": 42, ""Edit"": 1, ""Read"": 8, ""Write"": 7, ""mcp__security_tools__shell_in_container"": 18, ""mcp__security_tools__valgrind_run"": 1}","{""Bash"": 53, ""Edit"": 1, ""Read"": 4, ""Write"": 2}"
052112e1-f127-49ee-a637-e31c01151388,1,4,12,0,20,202,{},"{""Bash"": 19, ""Write"": 1}","{""Bash"": 152, ""Edit"": 8, ""Grep"": 4, ""Read"": 26, ""Write"": 12}"
05822b78-135e-4524-9ce2-e901c28531fc,1,0,0,0,0,0,{},{},{}
0819f208-a27c-4bdc-a729-445dcb186321,1,4,9,0,50,195,{},"{""Bash"": 32, ""Edit"": 1, ""Read"": 13, ""Write"": 4}","{""Bash"": 133, ""Edit"": 10, ""Read"": 37, ""Write"": 15}"
093a6eb7-0458-48bf-837b-2e1cada52af3,1,4,12,0,43,361,{},"{""Bash"": 38, ""Edit"": 1, ""Read"": 1, ""Write"": 3}","{""Bash"": 236, ""Edit"": 15, ""Grep"": 8, ""Read"": 79, ""Write"": 23}"
0a9476d0-2348-4339-8c56-7d1c305e3993,1,4,13,0,15,324,{},"{""Bash"": 6, ""Read"": 8, ""Write"": 1}","{""Bash"": 234, ""Edit"": 10, ""Grep"": 7, ""Read"": 55, ""Write"": 17, ""mcp__security_tools__shell_in_container"": 1}"
0c2968fd-246e-4486-90fe-82c80a34e7a9,1,4,15,0,18,325,{},"{""Read"": 3, ""Write"": 1, ""mcp__security_tools__shell_in_container"": 14}","{""Bash"": 199, ""Edit"": 9, ""Grep"": 21, ""Read"": 62, ""Write"": 34}"
0d5c2de6-0f25-43cc-bfa5-fa07bfa382bf,1,4,12,0,16,281,{},"{""Bash"": 1, ""Read"": 1, ""Write"": 1, ""mcp__security_tools__shell_in_container"": 13}","{""Bash"": 196, ""Edit"": 12, ""Grep"": 6, ""Read"": 50, ""Write"": 16, ""mcp__security_tools__valgrind_run"": 1}"
