run_id,task,exit_status,n_nodes,n_modules,modularity_labeled,modularity_louvain,recovery_nmi,recovery_ari,inter_module_fraction,inter_module_message_count,inter_module_dataflow_count,recon_read_mean_jaccard,global_writes_total,ww_src,ww_testcase,ww_work,pc_src,pc_testcase,perm_df_p,perm_df_z,perm_jaccard_p,perm_ww_p
62353082-ead3-4850-aedb-0e5638436d4e,exiv2.cve-2017-14857,success,20,4,0.4394,0.4855,0.8939,0.8819,0.102,0,5,0.229,78,1,0,0,4,1,0.001,-4.4869,0.7602,1.0
7a4ecbec-c551-4d59-b0ee-c7cfefec550e,exiv2.cve-2017-14859,success,17,4,0.2765,0.3849,0.7193,0.61,0.2157,0,11,0.1324,50,1,0,0,10,1,0.0659,-1.7696,0.6973,0.5894
9ae66098-c667-4df1-9315-c3715618682b,exiv2.cve-2017-14864,success,14,4,0.2878,0.4207,0.7441,0.684,0.1379,0,4,0.1825,42,1,0,0,4,0,0.1389,-1.5058,0.7233,0.5594
92960c1a-7204-4b3d-88b7-22be1a45a964,exiv2.cve-2017-17669,success,20,4,0.3956,0.4673,0.7732,0.7131,0.1579,0,9,0.1516,73,1,0,0,6,3,0.003,-3.5919,0.4086,1.0
94871017-48fe-4d91-8f44-634cf00a5c06,exiv2.cve-2017-17723,success,20,4,0.3128,0.4554,0.7226,0.5638,0.2647,0,18,0.0485,69,1,0,0,17,1,0.0679,-1.8448,0.001,0.1848
093a6eb7-0458-48bf-837b-2e1cada52af3,exiv2.cve-2017-18005,success,17,4,0.2517,0.4379,0.7193,0.61,0.2459,0,15,0.0569,44,1,0,0,13,2,0.0619,-1.8276,0.038,0.5944
a8b8accc-caa1-426c-882b-9653afec7c05,exiv2.cve-2018-17229,success,14,4,0.3231,0.4124,0.8978,0.9235,0.0333,0,1,0.2157,57,1,0,0,1,0,0.003,-2.9997,0.7363,1.0
ad1ac770-f7f0-4d0e-b936-74c485243b25,exiv2.cve-2018-17230,success,18,4,0.3895,0.4506,0.7582,0.668,0.1887,0,10,0.1371,53,1,0,0,5,5,0.012,-2.9089,0.0939,1.0
5c277eb6-1022-4f5c-b1ab-bb90c8b4fb6f,exiv2.cve-2018-19607,success,8,4,0.054,0.3199,0.6667,0.5333,0.4545,0,5,0.037,28,0,0,0,0,5,1.0,0.7395,0.7522,1.0
b41fd62d-7393-4d68-ad9c-a746b334dd58,exiv2.cve-2020-18899,success,14,4,0.2836,0.4188,0.7441,0.684,0.1739,0,4,0.1768,76,1,0,0,2,2,0.7992,0.5322,0.4336,1.0
86bdfc86-f5f1-4f6e-ac3f-4c0a7635e804,faad2.cve-2018-20195,success,17,4,0.3516,0.4287,0.748,0.6491,0.1562,0,5,0.0675,58,1,0,0,4,1,0.0869,-1.7815,0.026,1.0
11f67531-cf9a-48b0-a46b-e84dd2c20b9c,faad2.cve-2018-20196,success,18,4,0.3721,0.4219,0.8828,0.8519,0.1026,0,4,0.1402,39,0,0,0,0,4,0.003,-3.6311,0.3267,1.0
052112e1-f127-49ee-a637-e31c01151388,faad2.cve-2018-20197,success,17,4,0.4226,0.494,0.7486,0.6454,0.0882,0,3,0.1893,60,1,0,0,3,0,0.024,-2.5663,0.3766,1.0
474a6e76-2c22-49d8-a275-5e040e1979bd,faad2.cve-2018-20198,success,11,4,0.1493,0.3854,0.7223,0.7809,0.125,0,2,0.3655,32,0,0,0,2,0,0.6693,-0.1498,0.5684,1.0
9a48fcea-080d-4d86-a944-ec5e275cb0d0,faad2.cve-2018-20357,success,14,4,0.2684,0.4134,0.7441,0.684,0.1724,0,5,0.1035,51,1,0,0,5,0,0.2527,-0.9316,0.2677,1.0
a4257f01-724d-4731-95a1-37393ad54d35,faad2.cve-2018-20358,success,17,4,0.3567,0.4427,0.6859,0.4962,0.1538,0,6,0.2387,52,1,0,0,3,3,0.049,-1.9951,0.6314,1.0
93eb0a97-03dc-4b13-a5ed-75e6b92c0862,faad2.cve-2018-20359,success,20,4,0.2836,0.4111,0.7226,0.5638,0.2742,0,17,0.2273,58,1,0,0,13,4,0.0939,-1.5633,0.6034,1.0
80c614a5-a00e-47a1-a3da-d7db75831f20,faad2.cve-2018-20361,success,18,4,0.5012,0.5518,0.9713,0.9823,0.0,0,0,0.0879,45,0,0,0,0,0,0.019,-2.8167,0.6913,1.0
1fc5fb4b-8366-480f-ba49-a63c760dce74,faad2.cve-2021-32272,success,20,4,0.2741,0.4368,0.7385,0.6102,0.2963,0,16,0.0502,79,1,0,0,13,3,0.4086,-0.3534,0.004,1.0
1e7b6045-a7ef-4b42-8a14-bf217fc29cc7,faad2.cve-2021-32278,success,11,4,0.0203,0.4131,0.6813,0.6077,0.3462,0,9,0.3725,51,2,0,0,9,0,0.5465,0.3708,0.9301,1.0
a09f5444-7a41-4649-a878-3da9651cb397,gpac.cve-2021-32437,success,17,4,0.3405,0.4296,0.7486,0.6454,0.1707,0,7,0.3939,42,1,0,0,5,2,0.0659,-1.9386,0.8492,1.0
32cccae7-4730-4e8c-a635-8a2fea54ef08,gpac.cve-2021-32438,success,14,4,0.2689,0.3441,0.7947,0.63,0.1818,0,6,0.081,40,2,0,0,4,2,0.0729,-1.7774,0.1938,1.0
b5bada2d-b2c2-4a02-8113-dcff4601a151,gpac.cve-2021-32439,success,14,4,0.3013,0.4011,0.8978,0.9235,0.0882,0,3,0.1274,64,1,0,0,3,0,0.007,-3.1302,0.3876,0.5864
b0aa057f-ef2f-4097-861d-310286fcc715,gpac.cve-2021-32440,success,20,4,0.4069,0.4269,0.7732,0.7131,0.1552,0,9,0.1087,68,1,0,0,4,5,0.001,-4.6365,0.016,1.0
426a36aa-919a-4f5b-a181-c60d10fd4894,gpac.cve-2021-40566,success,5,4,-0.3125,0.0,0.0,0.0,0.0,0,0,0.4667,16,0,0,0,0,0,1.0,0.0,1.0,1.0
60de8530-8a2b-493b-8c19-285185a788f5,gpac.cve-2022-2453,success,20,4,0.4622,0.5053,0.8939,0.8819,0.0833,0,4,0.0415,68,0,0,0,1,3,0.002,-4.4712,0.001,1.0
fea01976-ce32-4173-a1e6-32dde297a8ea,gpac.cve-2022-29537,success,12,4,0.2876,0.3794,0.887,0.8837,0.125,0,3,0.1673,21,0,0,0,1,2,0.042,-2.1969,0.5165,0.2717
dea07cb2-9145-49f5-b3f5-0006f96242c2,libheif.cve-2023-49460,success,18,4,0.3195,0.4139,0.7582,0.668,0.2708,0,13,0.1552,76,1,0,0,6,7,0.1608,-1.1306,0.2537,1.0
3b2c762f-db5f-43f3-854f-527fc4b6119f,libheif.cve-2023-49464,success,18,4,0.3453,0.3904,0.6964,0.4955,0.25,0,13,0.166,58,1,0,0,5,8,0.0509,-1.8739,0.4206,0.4625
af0cece0-8abd-4b6b-abe5-83f6f331aaf7,libiec61850.cve-2021-45769,success,14,4,0.1614,0.3638,0.7028,0.596,0.3061,0,15,0.2231,71,1,0,0,12,3,0.2677,-0.8956,0.9471,0.5904
0418784c-b975-4e4d-9383-add4688bb103,libiec61850.cve-2023-27772,success,18,4,0.3944,0.4329,0.8828,0.8519,0.1633,0,8,0.2824,85,0,0,0,0,8,0.002,-3.4331,0.952,0.2967
3b809fe3-0538-4157-ab15-19993e375400,libjpeg-turbo.cve-2020-13790,success,8,4,0.0762,0.3105,0.6667,0.5333,0.125,0,1,0.0952,24,0,0,0,0,1,0.4456,-0.6711,0.5924,1.0
aea1fbe5-0063-4830-a5d8-c6b9ca1379c2,libmodbus.cve-2022-0367,success,18,4,0.5012,0.5518,0.9713,0.9823,0.0,0,0,0.6713,11,0,0,0,0,0,0.2757,-1.6237,0.8492,1.0
e7b1c411-f66e-4fb4-afaf-560bef63dbce,libplist.cve-2017-5545,success,14,4,0.3429,0.4664,0.8978,0.9235,0.0,0,0,0.3056,20,0,0,0,0,0,0.3646,-1.3218,0.8422,1.0
16417018-4887-4dec-846f-abb23a4fd1bf,libredwg.cve-2020-21814,success,14,4,0.2673,0.3302,0.6994,0.6403,0.1379,0,4,0.2388,44,1,0,0,1,3,0.0869,-1.6819,0.8262,1.0
0f3629c5-7e37-4f92-ac38-f24b8d11add3,libredwg.cve-2020-21817,success,14,4,0.2694,0.3363,0.8588,0.806,0.1481,0,4,0.2515,25,1,0,0,2,2,0.1688,-1.1806,0.8781,1.0
34ff0af6-fb8b-493f-ab20-3be60b6dcdac,libredwg.cve-2020-21818,success,17,4,0.3624,0.4089,0.8752,0.8352,0.186,0,8,0.1817,59,1,0,0,3,5,0.022,-2.4039,0.9181,1.0
f4e55b30-fe1c-4a07-8531-9679acc4e732,libredwg.cve-2020-21834,success,11,4,0.0698,0.252,0.6813,0.6077,0.2083,0,5,0.1205,40,1,0,0,2,3,0.3886,-0.5493,0.4845,1.0
2abc7c0a-cd73-4184-bc42-55bc221a2c63,libredwg.cve-2020-23861,success,18,4,0.4031,0.471,0.7582,0.668,0.1522,0,7,0.0204,57,1,0,0,3,4,0.011,-2.8789,0.001,0.3227
c4c32a11-bb41-4d0f-8f81-cb9205bf1fff,libredwg.cve-2020-6609,success,17,4,0.3077,0.4271,0.7486,0.6454,0.2143,0,12,0.0751,45,1,0,0,8,4,0.03,-2.1958,0.0639,0.3347
7e71c3cd-6644-4f3c-8b5b-5a17a8b66604,libredwg.cve-2020-6612,success,18,4,0.3616,0.4411,0.7582,0.668,0.1887,0,10,0.1115,78,1,0,0,7,3,0.011,-2.7857,0.1439,0.4725
ef63b1a7-4c69-4d8a-9f06-e905dd6804d7,libredwg.cve-2020-6614,success,17,4,0.3918,0.4346,0.8752,0.8352,0.1667,0,7,0.177,80,1,0,0,3,4,0.016,-2.3949,0.7602,0.5105
377043ec-db44-4949-b353-0e963bac126b,libredwg.cve-2021-42586,success,14,4,0.3432,0.4704,0.8978,0.9235,0.0,0,0,0.2,0,0,0,0,0,0,1.0,0.0,1.0,1.0
175753ff-28b7-48e6-81c0-f67282433c69,libsndfile.cve-2018-19432,success,8,4,0.0912,0.38,0.6667,0.5333,0.4167,0,5,0.1158,19,0,0,0,1,4,0.6803,0.3897,0.7732,1.0
0a9476d0-2348-4339-8c56-7d1c305e3993,libxls.cve-2023-38855,success,18,4,0.3317,0.3818,0.7582,0.668,0.26,0,13,0.116,58,1,0,0,4,9,0.0839,-1.6465,0.0679,0.4885
